Dan	Morgan	told
Morgan	told	himself
told	himself	he
himself	he	would
he	would	forget
would	forget	Ann
forget	Ann	Turner
Ann	Turner	.
Turner	.	He
.	He	was
He	was	well
was	well	rid
well	rid	of
rid	of	her
of	her	.
her	.	He
.	He	certainly
He	certainly	didn't
certainly	didn't	want
didn't	want	a
want	a	wife
a	wife	who
wife	who	was
who	was	fickle
was	fickle	as
fickle	as	Ann
as	Ann	.
Ann	.	If
.	If	he
If	he	had
he	had	married
had	married	her
married	her	,
her	,	he'd
,	he'd	have
he'd	have	been
have	been	asking
been	asking	for
asking	for	trouble
for	trouble	.
trouble	.	But
.	But	all
But	all	of
all	of	this
of	this	was
this	was	rationalization
was	rationalization	.
rationalization	.	Sometimes
.	Sometimes	he
Sometimes	he	woke
he	woke	up
woke	up	in
up	in	the
in	the	middle
the	middle	of
middle	of	the
of	the	night
the	night	thinking
night	thinking	of
thinking	of	Ann
of	Ann	,
Ann	,	and
,	and	then
and	then	could
then	could	not
could	not	get
not	get	back
get	back	to
back	to	sleep
to	sleep	.
sleep	.	His
.	His	plans
His	plans	and
plans	and	dreams
and	dreams	had
dreams	had	revolved
had	revolved	around
revolved	around	her
around	her	so
her	so	much
so	much	and
much	and	for
and	for	so
for	so	long
so	long	that
long	that	now
that	now	he
now	he	felt
he	felt	as
felt	as	if
as	if	he
if	he	had
he	had	nothing
had	nothing	.
nothing	.	The
.	The	easiest
The	easiest	thing
easiest	thing	would
thing	would	be
would	be	to
be	to	sell
to	sell	out
sell	out	to
out	to	Al
to	Al	Budd
Al	Budd	and
Budd	and	leave
and	leave	the
leave	the	country
the	country	,
country	,	but
,	but	there
but	there	was
there	was	a
was	a	stubborn
a	stubborn	streak
stubborn	streak	in
streak	in	him
in	him	that
him	that	wouldn't
that	wouldn't	allow
wouldn't	allow	it
allow	it	.
it	.	The
.	The	best
The	best	antidote
best	antidote	for
antidote	for	the
for	the	bitterness
the	bitterness	and
bitterness	and	disappointment
and	disappointment	that
disappointment	that	poisoned
that	poisoned	him
poisoned	him	was
him	was	hard
was	hard	work
hard	work	.
work	.	He
.	He	found
He	found	that
found	that	if
that	if	he
if	he	was
he	was	tired
was	tired	enough
tired	enough	at
enough	at	night
at	night	,
night	,	he
,	he	went
he	went	to
went	to	sleep
to	sleep	simply
sleep	simply	because
simply	because	he
because	he	was
he	was	too
was	too	exhausted
too	exhausted	to
exhausted	to	stay
to	stay	awake
stay	awake	.
awake	.	Each
.	Each	day
Each	day	he
day	he	found
he	found	himself
found	himself	thinking
himself	thinking	less
thinking	less	often
less	often	of
often	of	Ann
of	Ann	;
Ann	;	;
;	;	each
;	each	day
each	day	the
day	the	hurt
the	hurt	was
hurt	was	a
was	a	little
a	little	duller
little	duller	,
duller	,	a
,	a	little
a	little	less
little	less	poignant
less	poignant	.
poignant	.	He
.	He	had
He	had	plenty
had	plenty	of
plenty	of	work
of	work	to
work	to	do
to	do	.
do	.	Because
.	Because	the
Because	the	summer
the	summer	was
summer	was	unusually
was	unusually	dry
unusually	dry	and
dry	and	hot
and	hot	,
hot	,	the
,	the	spring
the	spring	produced
spring	produced	a
produced	a	smaller
a	smaller	stream
smaller	stream	than
stream	than	in
than	in	ordinary
in	ordinary	years
ordinary	years	.
years	.	The
.	The	grass
The	grass	in
grass	in	the
in	the	meadows
the	meadows	came
meadows	came	fast
came	fast	,
fast	,	now
,	now	that
now	that	the
that	the	warm
the	warm	weather
warm	weather	was
weather	was	here
was	here	.
here	.	He
.	He	could
He	could	not
could	not	afford
not	afford	to
afford	to	lose
to	lose	a
lose	a	drop
a	drop	of
drop	of	the
of	the	precious
the	precious	water
precious	water	,
water	,	so
,	so	he
so	he	spent
he	spent	most
spent	most	of
most	of	his
of	his	waking
his	waking	hours
waking	hours	along
hours	along	the
along	the	ditches
the	ditches	in
ditches	in	his
in	his	meadows
his	meadows	.
meadows	.	He
.	He	had
He	had	no
had	no	idea
no	idea	how
idea	how	much
how	much	time
much	time	Budd
time	Budd	would
Budd	would	give
would	give	him
give	him	.
him	.	In
.	In	any
In	any	case
any	case	,
case	,	he
,	he	had
he	had	no
had	no	intention
no	intention	of
intention	of	being
of	being	caught
being	caught	asleep
caught	asleep	,
asleep	,	so
,	so	he
so	he	carried
he	carried	his
carried	his	revolver
his	revolver	in
revolver	in	its
in	its	holster
its	holster	on
holster	on	his
on	his	hip
his	hip	and
hip	and	he
and	he	took
he	took	his
took	his	Winchester
his	Winchester	with
Winchester	with	him
with	him	and
him	and	leaned
and	leaned	it
leaned	it	against
it	against	the
against	the	fence
the	fence	.
fence	.	He
.	He	stopped
He	stopped	every
stopped	every	few
every	few	minutes
few	minutes	and
minutes	and	leaned
and	leaned	on
leaned	on	his
on	his	shovel
his	shovel	as
shovel	as	he
as	he	studied
he	studied	the
studied	the	horizon
the	horizon	,
horizon	,	but
,	but	nothing
but	nothing	happened
nothing	happened	,
happened	,	each
,	each	day
each	day	dragging
day	dragging	out
dragging	out	with
out	with	monotonous
with	monotonous	calm
monotonous	calm	.
calm	.	When
.	When	,
When	,	in
,	in	late
in	late	afternoon
late	afternoon	on
afternoon	on	the
on	the	last
the	last	day
last	day	in
day	in	June
in	June	,
June	,	he
,	he	saw
he	saw	two
saw	two	people
two	people	top
people	top	the
top	the	ridge
the	ridge	to
ridge	to	the
to	the	south
the	south	and
south	and	walk
and	walk	toward
walk	toward	the
toward	the	house
the	house	,
house	,	he
,	he	quit
he	quit	work
quit	work	immediately
work	immediately	and
immediately	and	strode
and	strode	to
strode	to	his
to	his	rifle
his	rifle	.
rifle	.	It
.	It	could
It	could	be
could	be	some
be	some	kind
some	kind	of
kind	of	trick
of	trick	Budd
trick	Budd	had
Budd	had	thought
had	thought	up
thought	up	.
up	.	No
.	No	one
No	one	walked
one	walked	in
walked	in	this
in	this	country
this	country	,
country	,	least
,	least	of
least	of	all
of	all	Ed
all	Ed	Dow
Ed	Dow	or
Dow	or	Dutch
or	Dutch	Renfro
Dutch	Renfro	or
Renfro	or	any
or	any	of
any	of	the
of	the	rest
the	rest	of
rest	of	the
of	the	Bar
the	Bar	B
Bar	B	crew
B	crew	.
crew	.	Morgan
.	Morgan	watched
Morgan	watched	the
watched	the	two
the	two	figures
two	figures	for
figures	for	a
for	a	time
a	time	,
time	,	puzzled
,	puzzled	.
puzzled	.	When
.	When	they
When	they	were
they	were	closer
were	closer	and
closer	and	he
and	he	saw
he	saw	that
saw	that	one
that	one	was
one	was	a
was	a	woman
a	woman	,
woman	,	he
,	he	was
he	was	more
was	more	puzzled
more	puzzled	than
puzzled	than	ever
than	ever	.
ever	.	He
.	He	cleaned
He	cleaned	his
cleaned	his	shovel
his	shovel	,
shovel	,	left
,	left	it
left	it	against
it	against	the
against	the	fence
the	fence	,
fence	,	picked
,	picked	up
picked	up	his
up	his	Winchester
his	Winchester	,
Winchester	,	and
,	and	started
and	started	downstream
started	downstream	.
downstream	.	His
.	His	visitors
His	visitors	had
visitors	had	crawled
had	crawled	through
crawled	through	the
through	the	south
the	south	fence
south	fence	and
fence	and	were
and	were	crossing
were	crossing	the
crossing	the	meadow
the	meadow	,
meadow	,	angling
,	angling	toward
angling	toward	the
toward	the	house
the	house	.
house	.	Now
.	Now	he
Now	he	saw
he	saw	that
saw	that	both
that	both	the
both	the	man
the	man	and
man	and	woman
and	woman	were
woman	were	moving
were	moving	slowly
moving	slowly	and
slowly	and	irregularly
and	irregularly	,
irregularly	,	staggering
,	staggering	,
staggering	,	as
,	as	if
as	if	they
if	they	found
they	found	it
found	it	a
it	a	struggle
a	struggle	to
struggle	to	remain
to	remain	on
remain	on	their
on	their	feet
their	feet	.
feet	.	Reaching
.	Reaching	the
Reaching	the	house
the	house	ahead
house	ahead	of
ahead	of	them
of	them	,
them	,	he
,	he	waited
he	waited	with
waited	with	his
with	his	Winchester
his	Winchester	in
Winchester	in	his
in	his	hands
his	hands	.
hands	.	They
.	They	crawled
They	crawled	through
crawled	through	the
through	the	north
the	north	fence
north	fence	and
fence	and	came
and	came	on
came	on	toward
on	toward	him
toward	him	,
him	,	and
,	and	now
and	now	he
now	he	saw
he	saw	that
saw	that	both
that	both	were
both	were	young
